"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TIMM50",944.668377598495,-0.105520924685262,0.0590785585160335,-1.7861120402358,0.0740811190577733,0.223549668753945
"LOC92659",127.370872083854,-0.251827200207044,0.140288394064957,-1.79506795188233,0.0726428741058,0.220392358027052
"C20orf72",523.628777549188,-0.247743525203535,0.0737437601875931,-3.35951848093062,0.00078078428840849,0.00601053645174522
"DTD1",661.630121185291,-0.064611907667959,0.0666926605012451,-0.968800872275185,0.332644551309547,0.57950234019816
"FAM114A1",1748.08919337993,-0.0926705017747158,0.0534557680256412,-1.73359218653943,0.0829904678052525,0.242133370072217
"TMEM183A",645.442791002022,-0.0742648827780405,0.0668379610855714,-1.11111831617605,0.266517424866111,0.508653265365935
"ARRDC1",579.288781995571,-0.0451184049298721,0.10588705167452,-0.426099359802357,0.670035446674776,0.837589028174154
"WDR85",348.573769255594,-0.115782919232255,0.0855224111178046,-1.35383132583537,0.175790197098786,0.395829642895206
"HELB",119.482227317216,-0.0834056041370596,0.156387764393938,-0.533325637464594,0.593808183589311,0.790817833747398
"SHKBP1",432.319627276221,0.0396914974800556,0.0882014294842575,0.45000968478793,0.652703457336708,0.827210735669406
"HIST3H2A",254.43105897189,-0.340028276129854,0.105908782771933,-3.21057675511274,0.00132468885908622,0.00941717402052385
"ZNF276",453.47610043967,0.13027246992055,0.254534343417681,0.511807044076474,0.608786059937368,0.799349026547363
"REEP6",749.165738865962,-0.0619345431881254,0.0746268972741908,-0.829922527270137,0.4065825872909,0.649765584874167
"HNRPLL",754.408351762771,0.0660007142524239,0.0653223357584377,1.01038509242068,0.312310827297971,0.55977022597669
"UBE2Q2",1212.52186900812,-0.0625166769057384,0.0676546602868961,-0.9240557360074,0.355457297654308,0.601927401506104
"CCDC102A",106.106542311892,-0.17661525225272,0.159398862363707,-1.10800823565308,0.267858259158337,0.509893652126656
"MARS2",560.017308279683,0.308287925738511,0.0782373151880335,3.94042056527093,8.13388819069315e-05,0.000814630634060261
"PEX11G",164.797094968514,-0.0580811817494214,0.138625340837957,-0.418979541535007,0.67523108411396,0.841313563492418
"LOC92973",45.6913868068998,0.139582871544151,0.235446688885349,0.592842788339748,0.553286369142126,0.763671004889564
"MARCH9",257.03447256856,-0.128703601635916,0.10249369244332,-1.25572216755768,0.209216719190993,0.439727467838199
"ZBTB47",350.857785705191,-0.0521184008901005,0.093214989964252,-0.559120382999429,0.576079564762796,0.778624043728541
"PKHD1L1",19.4731426036813,0.117750818672999,0.335815281411482,0.350641633037288,0.725857218540071,0.866486052491217
"COQ10A",113.657144687932,-0.349593891296181,0.146590757167203,-2.38482901686243,0.0170870609699703,0.0764072787390913
"C13orf27",144.084015977416,-0.0780277458167784,0.132825750138047,-0.587444420495901,0.556905267924548,0.766247658314269
"LINCR",40.3649332125539,-1.05349400655969,0.307052300948812,-3.43099205999867,0.000601378202726481,0.00483977493409401
"NAPRT1",1123.51894594664,-0.122971206338924,0.0630277576166636,-1.95106427689904,0.0510494000672223,0.172176896884822
"TMEM44",60.2675669678703,-0.0285383976928368,0.211668865572303,-0.134825675073543,0.892749705408902,0.952646804635147
"TMEM142C",297.202011642701,-0.237782369025689,0.0996867386767904,-2.38529589975492,0.0170653888706945,0.0763577536131719
"ZNF561",1180.51320771386,0.128108290442566,0.0561397216874654,2.28195449838094,0.0224920267751809,0.0943466615137962
"OLFM2",124.889513438519,0.0640388235046778,0.141194156775599,0.453551513512384,0.65015165844279,0.825980556105538
"HTR7P",195.804331527563,0.059165444650087,0.117855638998129,0.502016239129858,0.615656098008096,0.804465568107138
"PIGM",956.726760518239,0.0190415773163478,0.0558266254898196,0.341084153829433,0.733040230133966,0.870185888953642
"IGSF8",697.997082332474,-0.102280582651183,0.0818295439814384,-1.24992243234771,0.21132788402891,0.442361222232472
"PERLD1",187.131642965614,-0.138580132995712,0.118111976268442,-1.17329450724583,0.240677724199264,0.478760540320907
"MGC20533",116.175555487482,0.0704503699542082,0.15030818314942,0.468706150776729,0.639279689848649,0.819521721608169
"FAM125A",373.747739062584,-0.174684675252035,0.0927941263826208,-1.88249711551518,0.0597685511542079,0.192774392796746
"TMEM32",788.667414431441,-0.00119777309395096,0.066366134577267,-0.0180479562593245,0.985600596067464,0.994103684835108
"ARMC6",487.597463240248,-0.144846280538876,0.0752986984573656,-1.9236226323472,0.0544019020746238,0.180089055143582
"ZNF670",173.057972592393,-0.14803597725137,0.121747766289173,-1.21592355871037,0.224014042735076,0.457877413296828
"C14orf32",1795.22862332256,-0.0158290819024273,0.0673260834536984,-0.235110689504363,0.814122822196134,0.913770328013256
"ANUBL1",79.6952509761194,-0.021260030593156,0.183574942829873,-0.115811179158904,0.907802190448332,0.95982523861156
"RG9MTD2",505.158753665079,-0.0153504073835442,0.0755288003489253,-0.203239126169474,0.838948132684587,0.926082037088867
"WDR67",330.313933087682,0.0379347657487387,0.0897572937465107,0.422637138056688,0.672560026236154,0.839668935271358
"FBXO44",582.028266838849,-0.131574551808333,0.0683077326485408,-1.92620288665289,0.0540790455355361,0.17942269448823
"MRFAP1",6188.87659399142,0.148691409505546,0.039963979527015,3.72063571409432,0.000198721915964441,0.00180778766079208
"LOC93622",462.639872489891,-0.0442449641100712,0.0771248042853108,-0.573680082822565,0.566184308644103,0.772664454066741
"TJAP1",224.970669396844,-0.0433831922824306,0.108142455963025,-0.401167070750306,0.68829712296683,0.847046631369706
"ST7OT1",20.2449850081659,-0.539988200617299,0.326994674001153,-1.65136695962025,0.0986636671709917,0.272011843315144
"ARHGAP18",507.677225192117,-0.215591844974436,0.0809418749115144,-2.66353905453908,0.00773234356138458,0.0406697161571622
"CADPS2",162.600183771888,0.391699208212137,0.136148159387209,2.87700700453931,0.00401466683640764,0.0239904787471161
"ACRC",30.8148569840083,0.168166771872192,0.278762061474829,0.603262764604634,0.546333899516995,0.759032292316884
"ACTR8",1102.74859652418,-0.169603815886308,0.0586661126453929,-2.89100143572624,0.00384016366004303,0.0231298239366841
"ATPIF1",2075.78488565237,-0.0754394658476787,0.0501956014889419,-1.50290988871401,0.132862282653481,0.330838851449241
"PIGS",1204.60952165697,-0.0166425532491867,0.0544490793797373,-0.305653528742307,0.759868459564617,0.884107317328031
"TTYH2",292.081090635393,-0.0901010141799267,0.0924986518796213,-0.974079214659097,0.330017208993742,0.57637083327882
"CAMK2N2",44.2714147498987,0.439489195405374,0.246153563163837,1.78542690894486,0.0741920971558786,0.223713044743773
"ZNF101",160.498129674286,-0.0769770366271618,0.128994198779793,-0.59674805034116,0.550675606663313,0.762042013784036
"SYAP1",2054.97941746073,0.0861420139341548,0.0461794266661688,1.86537642740512,0.0621286591370547,0.198113747526422
"LENG9",437.329299345674,-0.14210002056515,0.0816690422760084,-1.73994963825961,0.0818678614709112,0.239916665800955
"SFXN1",2270.14099545421,-0.130588176700394,0.0428691053691408,-3.0462071829098,0.0023174808559878,0.015127039219184
"SFXN5",353.237315584763,0.280873003095403,0.0877542737417431,3.20067605962987,0.00137105578891214,0.00967688389448569
"ORMDL1",592.86985726789,0.0231782835513599,0.0713428999568066,0.324885637749416,0.74526762718906,0.876505990223947
"ORMDL3",1191.20659880174,-0.14467545025626,0.0682598022056019,-2.11948241251111,0.034049718548785,0.128371352689672
"C21orf66",738.391915880754,0.0884787023318137,0.0930698150101242,0.950670228818968,0.341771805635482,0.588972778888466
"SYTL3",41.0477886453287,-0.840653141121343,0.269221645721293,-3.12253176697246,0.00179302754328429,0.0121469129266213
"SYTL4",214.696704078348,0.207814459112904,0.109749237516457,1.8935389786352,0.0582862297279225,0.189546626446518
"ARHGAP12",810.470384533004,-0.133529461716522,0.0621006138186768,-2.15021162441977,0.0315384790806978,0.120950425782682
"SNORD46",27.258293404141,-0.805521728774559,0.300940097467856,-2.67668461448744,0.00743545896169147,0.0395307966770162
"H2AFV",3041.5906560042,0.0422366590065516,0.0410579101668498,1.02870942127623,0.30361624143238,0.549787081260812
"TP53INP1",6512.18245478303,-0.571197653484937,0.0370058438130178,-15.4353365476834,9.4705114743208e-54,1.02594311457596e-51
"TSGA14",426.938824701269,-0.103902542075196,0.0837807866484788,-1.24017147882775,0.21491197523593,0.447089605987642
"FNIP1",1203.72324222308,0.0531352659537164,0.0512176562960686,1.03744040232069,0.299530657294074,0.545222445094562
"LOC96610",252.733256345435,0.106331077803069,0.0978463419071386,1.08671490145214,0.277162826337844,0.520805005314649
"TGS1",687.916325925826,0.153975818448781,0.0674925478344118,2.28137510568648,0.0225262598421784,0.0943561817014697
"EGLN3",327.929625758766,-0.729473587406586,0.125485270177104,-5.8132208376094,6.12821297162306e-09,1.10476242395305e-07
"PRRT2",22.4333956596199,-0.173532710052908,0.345856370374998,-0.501747907273628,0.615844860642176,0.804465568107138
"EXOD1",1251.175057795,0.234014864389004,0.0679481808189941,3.44401956856493,0.000573134219077852,0.00462581603477189
"SAT2",812.413804575377,0.0280032153276764,0.0631045425075738,0.443759105365759,0.657216757729386,0.830168536079225
"C14orf126",963.554767437384,-0.0656454947191123,0.0588979875596076,-1.11456260967619,0.265037900560639,0.506976758435125
"C6orf51",2545.30787060405,0.187566763352736,0.0509657118559852,3.68025396923225,0.000233001774363848,0.00208746961433104
"SNAG1",1040.9885636195,0.0863023423018138,0.0590454511287473,1.46162558930464,0.143843838163971,0.347698677797375
"RWDD2",593.863556194828,-0.104791949356263,0.0754076565735991,-1.38967253615665,0.164628338182769,0.379451769912578
"CMTM7",45.3429162578633,-0.420900167902338,0.250644571443814,-1.67927103099733,0.0930992341162905,0.261120132172246
"TUBA3E",20.7642195088546,3.03438248601621,0.477580223995396,6.35366025132033,2.10250934779966e-10,4.41751430228084e-09
"RDH13",207.310319831291,0.00859256065431141,0.124094765672651,0.0692419265851847,0.944797050583082,0.977417941394018
"C14orf179",293.101411398924,-0.0685749418021317,0.0921756018479051,-0.743959794428945,0.456900799047956,0.688763517829473
"C1orf85",666.501551098523,0.140271526156813,0.0726187677637753,1.93161534512825,0.0534070004163838,0.177892767536434
"C10orf65",422.006660927601,0.0723971249980246,0.0831787839507013,0.87037969971926,0.384092936814142,0.629008118917288
"WDR89",982.749233534327,-0.203726323236404,0.0569538095117474,-3.57704471365314,0.000347500749719694,0.00297771324578386
"C14orf149",73.7021444122054,-0.175557946973419,0.200179668364483,-0.877001887393312,0.380485612922247,0.625560305957378
"TP53RK",681.046527416244,0.102108499895051,0.0645247222605344,1.58247097109171,0.113542094139084,0.29786826207383
"CCDC101",200.579644356848,-0.219789181944866,0.112897827165477,-1.94679727203887,0.0515590441527816,0.173548800842658
"VPS26B",1353.78191099629,0.126325862457238,0.0584643271093415,2.16073405276656,0.0307158888496143,0.11860471404063
"BTBD14B",1819.81907798563,0.0215107649632507,0.0734911062371905,0.292698886499617,0.769752321082431,0.888835850512551
"CCDC104",534.508203988615,-0.0521895474839616,0.0763336535727549,-0.683702993912362,0.494162732557594,0.720913460098847
"MED8",590.868129801956,0.114459574135398,0.0710560524267685,1.61083497079101,0.107215696701241,0.287387512741354
"KTI12",187.107618755923,-0.11100525707805,0.123488193419205,-0.8989139285666,0.368698508324446,0.614393449942853
"RPUSD1",460.691353998899,-0.129126697375289,0.0895116906122168,-1.44256796505713,0.149142213019181,0.355915774319016
"PLCD3",165.215354967232,0.0334013516043236,0.128728197005888,0.259471913545063,0.79527114987012,0.903985792390999
"FAM54A",55.2927483694916,0.0588456120367236,0.214239020544691,0.27467270848752,0.783567700432182,0.897047132596185
"CDCA5",419.509306215657,0.00963405887867152,0.0869768552577389,0.110765776138064,0.911802084991364,0.961385750475759
"AHNAK2",459.568992677172,-0.379215164774202,0.0987054886643123,-3.84188528830322,0.000122092897497037,0.00117400076029724
"RPLP0P2",48.2308136911013,-0.12354711748392,0.247833707845819,-0.498508126912181,0.618125942525142,0.805913690651589
"SAAL1",255.46826285451,-0.0521836192030249,0.102258780775156,-0.510309420936332,0.609834703619549,0.800278110218694
"C19orf36",31.9132111224237,-0.192204947470644,0.285681683218107,-0.672794087830624,0.50107829954503,0.725712321970773
"SCAMP4",1021.77301959938,0.0105580028931187,0.0836136462818205,0.126271288989514,0.899517182388417,0.955016439532595
"CHST14",396.110753353139,0.0959806686935711,0.0867127136087495,1.10688115616631,0.26834531404637,0.510102382990957
"CASC4",4952.41408914853,0.0931218930327908,0.0385348035220714,2.41656592278858,0.0156676888653617,0.071182789581451
"KIF12",26.4047620772621,-0.47804139387003,0.319062147066632,-1.49827047258664,0.134062992413421,0.332319950898756
"SLC46A1",1177.79412930859,-0.172788265195444,0.376945319102032,-0.458390796858983,0.646671702379721,0.823988287655093
